date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2030-10-31,110.283681802572,1.2880894775722,6334831.56330984,6469325.15398666,5955416.45951421,6081854.7610872,1055417.70324304,720618.187277819,992205.064766117,677457.856716452,11408792.994387,11743592.5103522,10725480.6860979,11040227.8941475,0,202239.051211781,537038.567177001,518379.136066038
2030-11-30,25.901469118628,0.00554396610865648,6555928.38120496,6696910.22244861,6163242.54641637,6295779.88235128,1076498.23744718,734831.535912069,1012018.33705164,690816.726974273,11629262.7560096,11970929.4575447,10932695.2391326,11253896.8492099,0,206227.979319732,547894.680854845,528603.556592337
2030-12-31,40.3134557399781,3.61660140245788,6888849.11904682,7039612.1418458,6457076.81369759,6598390.46450563,1097673.46386439,749087.027148202,1028874.59865147,702136.509430414,11971826.0926925,12320412.5294086,11221468.1066263,11548206.1958473,0,210228.734606029,558815.171322212,538858.292542173
2031-01-31,66.5779802000702,4.68474239806018,7408923.98066672,7574830.14382157,6918110.10343801,7073025.59542297,1118971.37787952,763397.010763593,1044843.65273101,712824.775484164,12518287.693449,12873862.0605649,11688997.3221185,12021016.1993654,0,214244.782993824,569819.150109746,549152.22776977
2031-02-28,-8.06567811838298,2.30623013636369,7321502.75542652,7484925.77171667,6823503.01209218,6975810.19289253,1140330.72487321,777734.209654638,1062766.81111491,724833.671373302,12401692.8057705,12764289.320989,11558144.6926994,11896077.832441,0,218268.469256466,580864.984475041,559465.740398173
2031-03-31,16.018162135267,2.49416192363914,7476007.34606302,7643947.71551032,6953208.98725781,7109405.26049706,1161756.6671059,792100.872635883,1080514.84232173,736709.135167849,12548978.0898809,12918633.8843509,11671426.0963656,12015231.8035195,0,222300.424516132,591956.218986145,569800.448119751
2031-04-30,46.4982106598045,-0.239872619865145,7881740.01985709,8061632.07435791,7332035.95464656,7499381.61794328,1183176.10219777,806464.660647395,1100656.6697375,750218.590453553,12970853.1631378,13347564.6046882,12066213.9977933,12416652.0770773,0,226331.572925291,603043.014475668,580133.087722105
2031-05-31,-43.0693329367904,3.53715059973703,7286899.15608317,7449515.29538651,6759074.32948674,6909911.40698463,1204689.83434009,820870.116450539,1117428.40951548,761410.582622354,12300238.3357799,12684058.0536694,11409273.4647678,11765291.2916609,0,230374.415258907,614194.133148455,590495.701191632
2031-06-30,37.8870200169467,4.62256720754051,7620649.2682077,7793679.82960468,7042080.56862367,7201974.44528784,1226326.80628947,835329.921976691,1133222.62571263,771910.686991304,12645039.0838136,13036035.9681263,11685012.770907,12046324.7096284,0,234432.510658029,625429.394970807,600897.411318661
2031-07-31,-12.9425209303855,2.38340497070013,7475437.59537375,7643978.07087479,6894347.53223192,7049786.80873272,1248028.36556257,849818.138110618,1151015.06400061,783759.011907842,12464043.0983198,12862253.3257718,11495172.5140095,11862428.5661023,0,238498.579397906,636708.806849854,611319.558712712
2031-08-31,-15.1813974431176,1.69956036244365,7305583.01066575,7468696.84953878,6728240.52049635,6878463.86866132,1269776.27583557,864326.715782766,1169428.9392878,796021.073689394,12255433.0129394,12660882.5729922,11286915.8934344,11660323.7590328,0,242570.362534454,648019.922587259,621756.353248312
2031-09-30,-29.0215998516897,3.0557417276996,6960444.79396959,7112140.338771,6394318.61088643,6533676.03329608,1291607.21280352,878871.731287417,1186554.63598248,807388.900321715,11852704.3460062,12265439.8275223,10888667.3527912,11267833.0884519,0,246652.371825162,659387.853341266,632219.359462255
2031-10-31,40.5993352806163,-2.50797263747248,7301830.29021021,7465413.57835358,6722150.8670405,6872747.56656947,1313367.95430649,893385.99290808,1209101.98976022,822461.655248358,12209530.3972935,12629512.3586919,11240237.3219169,11626877.6564287,0,250725.750142591,670707.711541004,642660.242765489
2031-11-30,42.3007731427369,0.542463515070857,7666090.74224573,7842203.81770506,7054312.30318032,7216370.99472663,1335143.61293936,907906.799486448,1228594.9034451,835452.947414775,12591198.3524687,13018435.1659217,11586380.6516311,11979522.6076614,0,254800.965280211,682037.778733124,653105.834206237
2031-12-31,14.3933190645305,3.42995252501181,7807981.7601103,7988909.39448873,7164716.15998117,7330737.95481179,1357012.44168906,922468.472265802,1245214.09872347,846470.313760385,12726266.3601731,13160810.3295963,11677804.7193682,12076548.5043313,0,258887.649378593,693431.618801846,663580.822887209
2032-01-31,67.3686240237132,2.23851241002773,8366071.61624945,8566055.47454446,7662677.85029837,7845847.67619347,1378942.69186392,937057.034008871,1263005.39924297,858272.138744259,13321935.5549616,13763821.2128166,12201867.8756984,12606601.1361971,0,262981.879773482,704867.537628529,674075.154235389
2032-02-29,-45.3997349491243,4.03749459144671,7710935.40811709,7889188.54319093,7039366.29518884,7202094.81574286,1400983.17975383,951693.794564105,1278967.23986354,868807.850957063,12576946.2439741,13026235.6291639,11481581.2609501,11891740.6498565,0,267089.637001601,716379.022191322,684604.157562504
2032-03-31,155.064339068954,4.76098413209496,8731602.37340075,8946317.04885331,7940304.40188118,8135560.64577956,1423153.9652793,966387.396346643,1294181.20658885,878808.925210498,13689137.5308556,14145904.0997883,12448564.9192332,12863937.2006116,0,271213.346527459,727979.915460117,695174.049819184
2032-04-30,30.028595030025,3.15126780366644,9034449.68221271,9259269.48852868,8194491.78731415,8398409.47143263,1445412.18142783,981119.038013624,1311028.19392683,889901.674388551,14001211.3205965,14465504.4640107,12699479.7928829,13120606.3124212,0,275347.731817923,739640.875232128,705771.306195701
2032-05-31,31.247912478021,1.37363068512426,9355336.46368528,9590797.17306589,8475903.0855137,8689229.68909479,1467708.98227033,995867.437631525,1329739.35675647,902252.518671959,14332927.9823529,14804769.5269917,12985584.1082401,13413070.9463246,0,279486.8201705,751328.3648093,716380.617461026
2032-06-30,85.0553489745408,0.250271004421987,10109657.3982541,10369950.4346622,9157407.61810589,9393183.10887136,1490012.86273105,1010618.90964074,1349665.43402405,915426.600286601,15142188.403102,15621582.3561923,13715913.9993516,14150152.833089,0,283626.770779283,763020.723869587,726992.138861458
2032-07-31,38.9193022299807,0.952404216216007,10530189.8709042,10803796.7506684,9530797.76749202,9778437.3514688,1512343.60792446,1025382.0386555,1368811.12864963,928065.777032855,15581771.1236335,16068732.6929024,14102946.9800002,14543692.331617,0,287769.992887151,774731.562156116,737612.045768345
2032-08-31,-37.7165479484341,-1.23685668674433,9927363.20601642,10182130.5446013,8994507.50432309,9225334.83391744,1534639.06549194,1040129.86415845,1390431.91072421,942390.811587708,14898139.5386726,15392648.7400061,13498189.3076937,13946230.4068302,0,291908.920116315,786418.121449797,748220.944042138
2032-09-30,-3.56781428560508,2.12541221451421,9882327.09383256,10135599.5630876,8938024.68212484,9167095.78653277,1556994.13273981,1054903.55961399,1408216.0867795,954102.607975359,14826109.2446094,15328199.8177352,13409405.4072446,13863518.8860487,0,296055.107659966,798145.680785782,758848.451954025
2032-10-31,-12.5017133976284,1.2571803923751,9718238.43437268,9965953.99265993,8780469.18010442,9004281.22584313,1579384.7025555,1069692.64426272,1426980.70210623,966471.789981294,14622397.9097414,15132089.9680342,13211397.8323063,13671906.7444313,0,300205.614128513,809897.672421294,769487.030134203
2032-11-30,100.221919524192,0.0891762401583618,10589163.2134885,10867236.5452426,9566642.72975238,9817864.48957704,1601777.80858912,1084482.82749163,1447105.47172401,979762.002718837,15564999.3299131,16082294.3110106,14061997.5984919,14529341.0674971,0,304356.428909866,821651.410007355,780126.398581768
2032-12-31,50.330768258298,-0.861479432630696,11127026.8097862,11422975.7696069,10059819.2613628,10327383.3732571,1624146.3032915,1099262.35069872,1468372.3284241,993830.675335848,16135845.4118931,16660729.3644859,14588235.5860032,15062777.2390915,0,308504.251992231,833388.20458502,790758.098706485
2033-01-31,-9.7988357408322,-2.84663309223523,10988949.7202572,11280407.1615573,9958923.78117002,10223062.0762076,1646432.81845318,1114006.34808121,1492107.92361405,1009587.3213278,15961583.7195099,16494010.1898819,14465458.4592678,14947979.0615541,0,312642.104872366,845068.575244335,801364.243208849
