date,apy_roi,apy_cpi,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm
2029-04-30,122.85632928056609,6.517857720671882,4028379.117923871,4340055.139350364,594083.9373112501,4613684.134623951,633706.3803068552,4936968.367876474,3445.0,117130.0,2667.0,90678.0,5216.850733891496,185846.3545703741,1419.202863978896,50558.02669469248,1530776.8730650488,914897.8500829227,9078563.901958745,9658591.120821772,-602431
2029-05-31,69.69222769695422,9.074231793865817,4405396.723684532,4740768.663822814,418770.7710527081,5032454.905676659,444714.52053570235,5381682.888412176,3445.0,120575.0,2667.0,93345.0,5179.226416323678,191025.58098669778,1408.9674668070725,51966.994161499555,1545913.6947767828,925130.5463446623,9464498.042866213,10046666.09374174,-602431
2029-06-30,-15.731891411539756,1.6001782649286422,4265707.456496427,4592401.879210976,-121173.62571264754,4911281.279964012,-129407.76445131091,5252275.123960865,3445.0,124020.0,2667.0,96012.0,5172.379216772056,196197.96020346985,1407.1047404785681,53374.09890197813,1564752.4550438293,937905.3832756355,9277735.571128942,9865464.657240255,-602431
2029-07-31,-12.325402467118673,2.727342561050472,4155236.996075468,4474806.818226802,-88239.24441444158,4823042.035549571,-94632.10428454353,5157643.019676321,3445.0,127465.0,2667.0,98679.0,5160.793955163732,201358.7541586336,1403.9530619481352,54778.051963926264,1582967.5014815568,950243.991878049,9120228.819223339,9712983.471195577,-602431
2029-08-31,12.35608510458639,1.9402588941266563,4237421.463845708,4562253.5170738185,101499.56747518438,4924541.603024756,107273.14701731806,5264916.166693639,3445.0,130910.0,2667.0,101346.0,5152.536091354079,206511.29024998768,1401.706575597113,56179.75853952338,1601586.729506709,962855.1475288866,9189338.956817813,9787495.187748723,-602431
2029-09-30,58.135208140136065,1.3184950778700077,4590136.673083253,4937874.343447697,369997.20089984726,5294538.803924602,393257.2000446355,5658173.366738275,3445.0,134355.0,2667.0,104013.0,5146.914829318692,211658.20507930638,1400.1773558462069,57579.935895369585,1620538.8834638733,975691.4580432941,9575824.656023923,10179683.880477725,-602431
2029-10-31,65.84403345081272,3.3255922880776057,4988830.055778649,5361550.983471305,423831.43226946593,5718370.236194069,449761.41562853457,6107934.782366809,3445.0,137800.0,2667.0,106680.0,5132.9022023795205,216791.1072816859,1396.3653318305023,58976.301227200085,1638308.5155132299,987706.6460051255,10007019.155497484,10615603.675802613,-602431
2029-11-30,7.797846370677819,7.759574255400858,5020280.846363983,5394484.106491364,75023.91364054344,5793394.149834612,78820.22718059152,6186755.009547401,3445.0,141245.0,2667.0,109347.0,5101.035360919039,221892.14264260494,1387.6962103674582,60363.997437567545,1653487.5720290854,997922.8349768671,9997209.233778942,10608416.182264129,-602431
2029-12-31,8.959551421528245,10.904841219561568,5048291.699130867,5423629.718969657,83670.56489729772,5877064.71473191,88019.02205249526,6274774.031599896,3445.0,144690.0,2667.0,112014.0,5057.2271260723655,226949.3697686773,1375.7785275485207,61739.77596511607,1666822.8607859917,1006845.4466272448,9973757.31293561,10586159.471322985,-602431
2030-01-31,30.657293121557537,1.831272037718934,5265073.296692348,5653623.223652011,236945.41778207198,6114010.132513982,250724.5027924758,6525498.534392372,3445.0,148135.0,2667.0,114681.0,5049.585088078234,231998.95485675553,1373.6995717261034,63113.47553684217,1685478.1279867298,1019412.8351174218,10198486.282333642,10816415.05494086,-602431
2030-02-28,-63.20759330532033,5.3023351422348375,4430625.239372818,4768317.00669851,-799320.5837009224,5314689.54881306,-848509.4568545773,5676989.077537795,3445.0,151580.0,2667.0,117348.0,5027.891082922465,237026.845939678,1367.797889692492,64481.27342653466,1701939.4979037552,1030461.7082728924,9197069.170141285,9818817.13746619,-602431
2030-03-31,32.96303122716908,4.311914019476548,4635257.087962023,4986648.508303468,232676.41013054762,5547365.958943607,247561.95865571743,5924551.036193512,3445.0,155025.0,2667.0,120015.0,5010.234290444837,242037.08023012284,1362.9944993462552,65844.26792588091,1718977.1612010817,1041894.1256313093,9403297.996300938,10029354.417969989,-602431
2030-04-30,42.09617732832977,1.3178230693533965,4909276.066618121,5278864.576951427,291551.6249399661,5838917.583883573,310131.87840195495,6234682.914595467,3445.0,158470.0,2667.0,122682.0,5004.771041640936,247041.85127176376,1361.5082658416711,67205.77619172257,1737943.6075071795,1054644.5166758532,9700021.718071392,10331892.950260747,-602431
2030-05-31,36.81958782481865,0.6624920786557853,5163180.692277931,5549281.468287622,269080.018556019,6107997.602439593,285795.5965992838,6520478.511194751,3445.0,161915.0,2667.0,125349.0,5002.017893700134,252043.8691654639,1360.759293781351,68566.53548550392,1757344.943009172,1067690.9521461874,9974482.089470647,10612506.018538777,-602431
2030-06-30,-7.8284463943378295,2.155268087969686,5086604.670090183,5467708.0845447015,-54945.84276799964,6053051.759671593,-59257.721925932565,6461220.789268818,3445.0,165360.0,2667.0,128016.0,4993.13732305679,257037.00648852068,1358.3434049753089,69924.87889047923,1775694.2062102626,1080011.342428456,9858365.734493205,10501766.308767702,-602431
2030-07-31,-33.29595077522881,3.2402897972198197,4746881.453867933,5105682.644735733,-313777.30988407705,5739274.449787516,-335068.1274948275,6126152.66177399,3445.0,168805.0,2667.0,130683.0,4979.886093244014,262016.8925817647,1354.7385130087132,71279.61740348794,1793255.2164201392,1091783.633104355,9431050.314940792,10079266.38082787,-602431
2030-08-31,3.699183923449745,3.43328598704451,4762057.759404347,5121810.647468235,40939.601792899775,5780214.051580416,42899.207531733555,6169051.869305723,3445.0,172250.0,2667.0,133350.0,4965.897093588963,266982.7896753537,1350.932916608251,72630.55032009618,1810645.4068595145,1103429.8806006187,9418244.217575068,10071176.813459516,-602431
2030-09-30,-31.0107729606682,17.678515493782363,4414866.864588557,4750151.2174927415,-270683.563908351,5509530.487672065,-290304.8153108372,5878747.053994887,3445.0,175695.0,2667.0,136017.0,4898.986964107269,271881.77663946094,1332.7305465897427,73963.28086668592,1818344.178145193,1108405.3065094983,8937439.725740649,9588181.496230148,-602431
2030-10-31,-46.02624689865434,4.297188041000344,3953293.9655954936,4254922.423829207,-433798.7595262445,5075731.728145821,-466281.14383171557,5412465.910163171,3445.0,179140.0,2667.0,138684.0,4881.840288664231,276763.61692812515,1328.0659295367022,75291.34679622263,1835116.796631515,1119571.3596248103,8355633.397008201,9010722.406486478,-602431
2030-11-30,83.63901363970285,2.2567246099526983,4379257.547985252,4714297.3716310635,445619.05077646323,5521350.778922284,479590.8326927378,5892056.742855908,3445.0,182585.0,2667.0,141351.0,4872.769977843621,281636.3869059688,1325.5984234203856,76616.945219643,1853375.880698149,1131746.913454831,8841852.797934199,9502359.1745932,-602431
2030-12-31,20.313887267506914,5.059071336156551,4498038.870875551,4841919.506411836,149039.90781182706,5670390.686734111,159255.8136698766,6051312.556525785,3445.0,186030.0,2667.0,144018.0,4852.770813180111,286489.1577191489,1320.1578092998302,77937.10302894283,1869480.781515754,1142438.0722832528,8948935.738580925,9613387.031638574,-602431
2031-01-31,65.96124469409115,4.317355955672597,4866736.450855827,5237957.759166859,396776.3637611606,6067167.050495272,425326.1556457097,6476638.712171494,3445.0,189475.0,2667.0,146685.0,4835.707979977689,291324.8656991266,1315.5160008633432,79252.61902980617,1886108.0959820068,1153474.3890940845,9356497.526526762,10025286.64859622,-602431
2031-02-28,84.68058621861712,3.4726757145274068,5342272.261475321,5747417.8500953885,501606.6928270993,6568773.743322371,536585.5163058143,7013224.2284773085,3445.0,192920.0,2667.0,149352.0,4821.970991537946,296146.8366906646,1311.7789621151433,80564.39799192132,1903357.7324796822,1164926.0642880253,9890702.417307703,10564280.596534312,-602431
2031-03-31,24.081639806691115,6.368324260216984,5493388.23371346,5908613.0814962825,190744.60622594232,6759518.349548313,202902.90712387266,7216127.135601182,3445.0,196365.0,2667.0,152019.0,4797.226605275816,300944.0632959404,1305.047448096068,81869.44544001739,1918286.6074771974,1174778.43498101,10030241.74844855,10707079.096687168,-602431
2031-04-30,39.52653949050171,4.49285804163333,5754584.008848034,6187271.462055524,293469.81029172137,7052988.159840034,312450.3448551503,7528577.480456332,3445.0,199810.0,2667.0,154686.0,4779.689480298193,305723.7527762386,1300.2766123440483,83169.72205236144,1934660.9043899758,1185604.2030865937,10304533.92946246,10985631.803814912,-602431
2031-05-31,83.76726159549548,0.26897119807638425,6289176.7153639905,6757187.384048209,548071.2838949843,7601059.443735018,583491.3420557622,8112068.822512094,3445.0,203255.0,2667.0,157353.0,4778.619705903841,310502.37248214247,1299.9855887051292,84469.70764106656,1954527.3301433977,1198808.500889051,10911029.816414919,11598711.249836437,-602431
2031-06-30,-4.8162614150470855,-1.8977698445546975,6254365.433881462,6720296.534477452,-32660.747856033086,7568398.695878985,-35488.17322306156,8076580.649289032,3445.0,206700.0,2667.0,160020.0,4786.255697492934,315288.6281796354,1302.0628996510138,85771.77054071758,1976302.0333681698,1213317.522416752,10856079.163720956,11551587.09925599,-602431
2031-07-31,56.557601322200334,-0.0960789088719105,6668092.049005102,7160534.275178856,425426.40015149565,7993825.096030481,451900.20117522246,8528480.850464255,3445.0,210145.0,2667.0,162687.0,4786.63911224929,320075.2672918847,1302.1672045943728,87073.93774531195,1996477.4556250966,1226738.1865087226,11319794.223676007,12022085.077022433,-602431
2031-08-31,21.669486282096994,0.31590864558392884,6852831.133688929,7356714.053824364,198690.71683157573,8192515.812862057,210260.82840811127,8738741.678872366,3445.0,213590.0,2667.0,165354.0,4785.381146575053,324860.6484384597,1301.8249850104264,88375.76273032239,2016279.8720799978,1239904.200762023,11513724.995741794,12222559.860822247,-602431
2031-09-30,-18.919555871692182,4.233883983370523,6630398.2678292105,7120304.410850459,-186614.9558454542,8005900.857016603,-198853.52548348324,8539888.153388882,3445.0,217035.0,2667.0,168021.0,4768.873372739406,329629.52181119914,1297.3341760721398,89673.09690639452,2032537.777108232,1250648.2653196042,11222797.383942148,11935933.686822414,-602431
2031-10-31,0.4238853998970393,-5.283009189399346,6664430.490039103,7156810.0878192065,16180.279720605213,8022081.136737209,16432.838116530093,8556320.991505412,3445.0,220480.0,2667.0,170688.0,4790.492153560305,334420.0139647594,1303.2153939221023,90976.31230031663,2057756.7822977372,1267499.3194119697,11258231.039507948,11981323.070727067,-602431
2031-11-30,93.61390030506338,3.2263787715412606,7282371.46249503,7814270.059426624,647742.5921852703,8669823.728922479,688562.7973955267,9244883.78890094,3445.0,223925.0,2667.0,173355.0,4777.832373498775,339197.8463382582,1299.7714011691673,92276.0837014858,2074795.8901319976,1278782.8464527982,11951954.082175765,12679871.904907724,-602431
2031-12-31,-51.57630112746118,-9.095162626970843,6633992.843961998,7127107.8716847235,-694239.8015608713,7975583.927361608,-737266.8953786353,8507616.893522304,3445.0,227370.0,2667.0,176022.0,4815.950257943436,344013.7965962016,1310.1410692950417,93586.22477078084,2104225.3617240507,1298509.6144010616,11206777.830639282,11947197.900149528,-602431
2032-01-31,24.79496791231488,5.852104219581045,6810420.217954132,7314932.446758042,220003.19707407497,8195587.124435683,233731.93363111233,8741348.827153416,3445.0,230815.0,2667.0,178689.0,4793.1795893467215,348806.97618554835,1303.9464895120266,94890.17126029287,2118613.1297490774,1308006.2836756352,11377918.324979017,12121557.11635242,-602431
2032-02-29,5.736650213614913,5.632488292087734,6832163.848854082,7337826.595441849,64952.61508398707,8260539.73951967,68401.64328454167,8809750.470437959,3445.0,234260.0,2667.0,181356.0,4771.342312495508,353578.31849804387,1298.005831550049,96188.17709184292,2133166.6512618624,1317600.5205785758,11367906.510064855,12114900.76150811,-602431
2032-03-31,59.36904590723402,3.6849888956653087,7260425.165096039,7794058.531831283,460996.4078141969,8721536.147333866,490489.60611430154,9300240.07655226,3445.0,237705.0,2667.0,184023.0,4756.975540150222,358335.2940381941,1294.0974650855642,97482.27455692849,2149574.7259121975,1328443.4707104445,11840796.602443429,12592300.820190834,-602431
2032-04-30,5.53551696863217,0.31133636481421867,7311812.93766086,7848688.886590316,65429.8037721823,8786965.95110605,68810.6025483664,9369050.679100627,3445.0,241150.0,2667.0,186690.0,4755.743434100132,363091.03747229424,1293.7622804072575,98776.03683733575,2169373.6408834136,1341585.9740536804,11879872.941698084,12637943.079849105,-602431
2032-05-31,33.44100931848371,2.422304953524357,7585729.980499854,8139944.8572351225,300635.56939419056,9087601.520500239,319044.2436337921,9688094.922734419,3445.0,244595.0,2667.0,189357.0,4746.267428350967,367837.3049006452,1291.1844082034531,100067.2212455392,2186977.4031602424,1353233.2226692154,12173598.614363214,12936929.307120508,-602431
2032-06-30,19.671257486297765,2.1308844734037713,7755636.810291085,8320367.571343757,195362.7304090101,9282964.250909248,206851.5607718086,9894946.483506227,3445.0,248040.0,2667.0,192024.0,4737.935168935625,372575.24006958085,1288.9176831179825,101356.13892865718,2204860.3378447713,1365063.9828915016,12345948.617138986,13114719.527006196,-602431
2032-07-31,69.68257441389407,7.085869480651641,8264518.591136138,8860471.64046947,565106.8273001533,9848071.078209402,599541.771417957,10494488.254924184,3445.0,251485.0,2667.0,194691.0,4710.981873442879,377286.22194302373,1281.5852528629885,102637.72418152017,2217609.439241709,1373396.6954665491,12900471.709055455,13671679.440555869,-602431
